Beasiswa,AVG,MIN
Djarum,0.1709037198,0.07103705752
BCA,0.1265305557,0.03592117393
Baznas,0.146413047,0.09201532704
Beasiswa Unggulan,0.1777850383,0.06860447649
BI,0.1351889349,0.04324494474
BRI,0.07076699353,0.04766444066
BSI,0.09300227797,0.03806736609
BUMN Aperti,0.06632186284,0.006944731811
CIMB Niaga,0.1568084538,0.03655242081
Dataprint,0.1836811913,0.02189630073
KJMU,0.0680858067,0.04845756466
KSE,0.08208118504,0.04005069702
MPM Berbagi,0.1461342038,0.08222889871
Paragon,0.07562848414,0.07562848414
Pertamina Sobat Bumi,0.1183803168,0.03671107695
Tanoto Foundation,0.07585506821,0.05640234099
XL Future Leader,0.1233061459,0.0542123308
