IPK,Sertifikasi,Sertifikasi Professional,Prestasi Nasional,Kompetisi Top 3 Nasional,Prestasi Internasional,Kompetisi Top 3 Internasional,Intern,Volunteer,Beasiswa,Nilai Bobot,Rank
3.3,0,1,0,2,0,0,21,41,Beasiswa Baznas,0.2617801025,6332
3.6,0,0,1,2,0,0,15,40,Beasiswa Baznas,0.2620826542,6320
3.17,0,1,3,2,0,0,20,31,Beasiswa Baznas,0.2267118334,7910
3.91,0,1,3,1,0,0,29,34,Beasiswa Baznas,0.3041638093,4518
3.37,0,1,2,0,0,0,33,40,Beasiswa Baznas,0.294434558,4944
3.61,0,1,0,2,0,0,24,21,Beasiswa Baznas,0.2357834474,7461
3.19,0,0,3,1,0,0,5,35,Beasiswa Baznas,0.2026692869,9358
3.08,0,1,2,2,0,0,42,22,Beasiswa Baznas,0.2823507803,5472
3.66,0,1,0,2,0,0,9,25,Beasiswa Baznas,0.2098985578,8870
3.1,0,0,2,1,0,0,22,23,Beasiswa Baznas,0.1986021104,9651
3.06,0,1,1,1,0,0,14,44,Beasiswa Baznas,0.2439617898,7069
3.05,0,1,3,1,0,0,41,23,Beasiswa Baznas,0.2784969852,5645
3.85,0,1,2,1,0,0,21,37,Beasiswa Baznas,0.2846584888,5374
3.07,0,0,0,1,0,0,9,50,Beasiswa Baznas,0.2548875533,6624
3.49,0,0,0,2,0,0,39,43,Beasiswa Baznas,0.3252270562,3658
3.71,0,1,2,2,0,0,43,49,Beasiswa Baznas,0.3627939539,2501
3.39,0,1,2,2,0,0,36,22,Beasiswa Baznas,0.2711113744,5941
3.54,0,1,1,2,0,0,36,55,Beasiswa Baznas,0.3500794524,2804
3.11,0,1,1,2,0,0,34,21,Beasiswa Baznas,0.2470743164,6943
3.02,0,0,3,0,0,0,43,30,Beasiswa Baznas,0.2946680729,4935
3.4,0,1,0,1,0,0,13,48,Beasiswa Baznas,0.2688197727,6032
3.91,0,1,0,2,0,0,23,54,Beasiswa Baznas,0.3354133376,3272
3.85,0,0,1,1,0,0,3,53,Beasiswa Baznas,0.2981116885,4782
3.94,0,0,0,2,0,0,28,33,Beasiswa Baznas,0.2975524515,4817
3.93,0,1,0,2,0,0,17,26,Beasiswa Baznas,0.2552598061,6609
3.83,0,1,1,0,0,0,33,28,Beasiswa Baznas,0.29100994,5086
3.45,0,1,0,1,0,0,2,32,Beasiswa Baznas,0.2008505333,9481
3.65,0,0,3,1,0,0,34,29,Beasiswa Baznas,0.2901470577,5122
3.41,0,0,2,0,0,0,7,35,Beasiswa Baznas,0.2141484399,8611
3.9,0,1,1,2,0,0,17,46,Beasiswa Baznas,0.3047655803,4496
3.43,0,1,2,2,0,0,20,50,Beasiswa Baznas,0.2970466851,4837
3.21,0,1,1,1,0,0,2,32,Beasiswa Baznas,0.1849131185,10601
3.36,0,1,1,0,0,0,5,31,Beasiswa Baznas,0.192216199,10110
3.4,0,1,1,0,0,0,9,26,Beasiswa Baznas,0.1839740706,10647
3.23,0,1,3,1,0,0,32,36,Beasiswa Baznas,0.2802039688,5574
3.6,0,0,3,2,0,0,39,44,Beasiswa Baznas,0.337977453,3188
3.07,0,1,2,2,0,0,17,43,Beasiswa Baznas,0.252649877,6718
3.34,0,0,3,1,0,0,16,39,Beasiswa Baznas,0.2461132481,6989
3.26,0,0,1,0,0,0,29,39,Beasiswa Baznas,0.271715605,5919
3.45,0,0,0,2,0,0,15,26,Beasiswa Baznas,0.2060952127,9117
3.98,0,0,2,1,0,0,7,43,Beasiswa Baznas,0.2848954638,5364
3.23,0,0,0,0,0,0,41,37,Beasiswa Baznas,0.3027247641,4598
3.79,0,0,0,2,0,0,15,35,Beasiswa Baznas,0.2600975614,6405
3.31,0,1,0,2,0,0,37,32,Beasiswa Baznas,0.2882453348,5212
3.93,0,1,3,2,0,0,22,48,Beasiswa Baznas,0.3255916719,3641
3.57,0,1,1,1,0,0,42,44,Beasiswa Baznas,0.3389572262,3151
3.61,0,0,1,1,0,0,42,31,Beasiswa Baznas,0.3134930891,4128
3.37,0,0,2,0,0,0,42,49,Beasiswa Baznas,0.3399095492,3122
3.57,0,1,0,0,0,0,11,30,Beasiswa Baznas,0.2146058495,8580
3.12,0,0,1,2,0,0,16,54,Beasiswa Baznas,0.2863740812,5292
3.82,0,0,2,2,0,0,11,42,Beasiswa Baznas,0.2785154027,5642
3.83,0,1,3,1,0,0,15,55,Beasiswa Baznas,0.3222867221,3772
3.22,0,0,1,1,0,0,36,55,Beasiswa Baznas,0.3344660673,3304
3.54,0,1,3,0,0,0,31,20,Beasiswa Baznas,0.2538331486,6667
3.62,0,0,0,2,0,0,3,38,Beasiswa Baznas,0.2377943834,7366
3.18,0,0,2,2,0,0,27,33,Beasiswa Baznas,0.252772966,6711
3.65,0,0,3,2,0,0,28,49,Beasiswa Baznas,0.3240799335,3700
3.58,0,1,3,2,0,0,2,54,Beasiswa Baznas,0.2929554,4999
3.11,0,1,2,1,0,0,32,37,Beasiswa Baznas,0.2762472877,5729
3.25,0,0,2,1,0,0,8,33,Beasiswa Baznas,0.1999166519,9548
3.59,0,0,0,0,0,0,5,52,Beasiswa Baznas,0.2776468072,5673
3.71,0,1,0,1,0,0,9,32,Beasiswa Baznas,0.2317254674,7642
3.16,0,1,1,0,0,0,27,41,Beasiswa Baznas,0.2687942996,6034
3.34,0,1,0,0,0,0,32,27,Beasiswa Baznas,0.2548458956,6627
3.99,0,0,3,0,0,0,29,47,Beasiswa Baznas,0.3339888906,3320
3.85,0,1,1,1,0,0,2,21,Beasiswa Baznas,0.2092967347,8902
3.65,0,0,2,0,0,0,7,41,Beasiswa Baznas,0.2517840388,6750
3.31,0,0,2,0,0,0,28,20,Beasiswa Baznas,0.2242680412,8042
3.91,0,1,3,1,0,0,29,45,Beasiswa Baznas,0.3289899489,3494
3.82,0,1,0,0,0,0,17,54,Beasiswa Baznas,0.3139552274,4106
3.21,0,1,1,2,0,0,23,53,Beasiswa Baznas,0.3019129787,4628
3.35,0,1,1,0,0,0,35,35,Beasiswa Baznas,0.2858380129,5324
3.98,0,1,0,1,0,0,18,46,Beasiswa Baznas,0.3071784615,4387
3.81,0,1,0,1,0,0,13,29,Beasiswa Baznas,0.2396170106,7279
3.99,0,1,2,0,0,0,12,35,Beasiswa Baznas,0.270349841,5972
3.42,0,0,2,1,0,0,6,41,Beasiswa Baznas,0.2373022805,7384
3.63,0,1,2,2,0,0,19,50,Beasiswa Baznas,0.3051822177,4475
3.54,0,0,0,2,0,0,9,47,Beasiswa Baznas,0.2688221011,6031
3.35,0,0,0,2,0,0,17,44,Beasiswa Baznas,0.2629026443,6281
3.47,0,0,2,2,0,0,7,27,Beasiswa Baznas,0.1967059662,9781
3.48,0,0,3,2,0,0,15,41,Beasiswa Baznas,0.2619171944,6330
3.64,0,1,2,0,0,0,29,25,Beasiswa Baznas,0.2611587793,6360
3.99,0,1,3,1,0,0,30,22,Beasiswa Baznas,0.2893430308,5158
3.56,0,0,0,1,0,0,30,27,Beasiswa Baznas,0.26135674,6352
3.49,0,0,3,0,0,0,7,44,Beasiswa Baznas,0.2533151651,6690
3.6,0,0,2,1,0,0,33,22,Beasiswa Baznas,0.2675355937,6080
3.72,0,1,0,2,0,0,35,45,Beasiswa Baznas,0.3307909517,3425
3.51,0,0,1,2,0,0,20,40,Beasiswa Baznas,0.26764833,6074
3.31,0,1,2,1,0,0,40,29,Beasiswa Baznas,0.2927370579,5007
3.17,0,0,1,1,0,0,10,32,Beasiswa Baznas,0.1931634885,10030
3.16,0,0,1,2,0,0,10,43,Beasiswa Baznas,0.2383491833,7334
3.12,0,0,3,1,0,0,10,42,Beasiswa Baznas,0.2341860802,7534
3.16,0,0,0,2,0,0,4,30,Beasiswa Baznas,0.1768106611,11096
3.26,0,1,0,1,0,0,14,47,Beasiswa Baznas,0.2607074582,6377
3.69,0,0,0,0,0,0,35,38,Beasiswa Baznas,0.3064530372,4419
3.24,0,0,1,2,0,0,20,49,Beasiswa Baznas,0.2824901098,5465
3.26,0,1,3,1,0,0,30,23,Beasiswa Baznas,0.2423910198,7154
3.05,0,0,2,0,0,0,37,33,Beasiswa Baznas,0.2781418961,5655
3.9,0,0,1,0,0,0,23,48,Beasiswa Baznas,0.3143659252,4091
3.32,0,0,3,1,0,0,8,23,Beasiswa Baznas,0.1708901622,11460
3.47,0,1,3,2,0,0,18,25,Beasiswa Baznas,0.2210747023,8216
3.32,0,1,1,1,0,0,8,55,Beasiswa Baznas,0.282678332,5457
3.23,0,1,0,1,0,0,11,55,Beasiswa Baznas,0.2817317514,5504
3.52,0,1,1,0,0,0,17,40,Beasiswa Baznas,0.2567121785,6553
3.28,0,1,0,2,0,0,24,22,Beasiswa Baznas,0.2146425487,8577
3,0,1,1,0,0,0,23,34,Beasiswa Baznas,0.2294802374,7765
3.4,0,0,0,1,0,0,42,24,Beasiswa Baznas,0.2896965735,5143
3.7,0,0,1,1,0,0,11,51,Beasiswa Baznas,0.2919935814,5041
3.91,0,0,3,0,0,0,28,22,Beasiswa Baznas,0.2734427626,5851
3.94,0,1,0,1,0,0,13,50,Beasiswa Baznas,0.306782842,4407
3.65,0,1,1,0,0,0,36,35,Beasiswa Baznas,0.3036185816,4548
3.37,0,1,0,2,0,0,19,20,Beasiswa Baznas,0.1966783078,9782
3.97,0,1,2,1,0,0,32,20,Beasiswa Baznas,0.2881961191,5216
3.69,0,0,3,0,0,0,11,44,Beasiswa Baznas,0.2718482465,5911
3.45,0,0,1,1,0,0,13,29,Beasiswa Baznas,0.2082431985,8976
3.37,0,0,3,0,0,0,10,54,Beasiswa Baznas,0.2844200424,5387
3.47,0,0,3,2,0,0,39,29,Beasiswa Baznas,0.3003554864,4697
3.22,0,0,1,2,0,0,6,37,Beasiswa Baznas,0.212088105,8740
3.65,0,0,3,0,0,0,30,34,Beasiswa Baznas,0.2861702318,5303
3.64,0,0,1,1,0,0,23,49,Beasiswa Baznas,0.3047389048,4499
3.53,0,0,3,2,0,0,10,54,Beasiswa Baznas,0.297661062,4806
3.78,0,0,2,0,0,0,38,40,Beasiswa Baznas,0.3272226296,3563
3.54,0,1,0,0,0,0,22,54,Beasiswa Baznas,0.3086973311,4327
3.73,0,1,1,2,0,0,33,34,Beasiswa Baznas,0.3028668916,4591
3.5,0,0,1,0,0,0,42,54,Beasiswa Baznas,0.3532996473,2733
3.55,0,1,1,0,0,0,4,27,Beasiswa Baznas,0.193477589,10009
3.7,0,0,3,2,0,0,15,43,Beasiswa Baznas,0.2821699861,5480
3.64,0,0,2,2,0,0,31,44,Beasiswa Baznas,0.3162049869,4018
3.37,0,0,3,1,0,0,30,48,Beasiswa Baznas,0.3103639435,4261
3.76,0,0,1,2,0,0,14,50,Beasiswa Baznas,0.300375734,4695
3.22,0,1,2,0,0,0,42,35,Beasiswa Baznas,0.3060912901,4436
3.99,0,0,2,2,0,0,37,43,Beasiswa Baznas,0.3478335658,2870
3.07,0,1,3,2,0,0,6,55,Beasiswa Baznas,0.2788375572,5631
3.57,0,1,2,2,0,0,32,43,Beasiswa Baznas,0.3142805105,4094
3.83,0,1,0,2,0,0,6,55,Beasiswa Baznas,0.308097201,4355
3.89,0,1,2,1,0,0,15,24,Beasiswa Baznas,0.2425913547,7143
3.24,0,0,2,0,0,0,30,32,Beasiswa Baznas,0.2572731226,6531
3.13,0,0,0,1,0,0,36,52,Beasiswa Baznas,0.3228825805,3740
3.02,0,0,0,1,0,0,14,54,Beasiswa Baznas,0.2754603013,5753
3.71,0,0,0,1,0,0,19,45,Beasiswa Baznas,0.2875170384,5251
3.22,0,0,2,2,0,0,35,51,Beasiswa Baznas,0.3270225545,3572
3.86,0,0,0,0,0,0,9,27,Beasiswa Baznas,0.2286918916,7806
3.64,0,1,1,2,0,0,23,50,Beasiswa Baznas,0.3120706092,4186
3.7,0,0,0,1,0,0,21,49,Beasiswa Baznas,0.3022086716,4618
3.05,0,0,2,1,0,0,32,31,Beasiswa Baznas,0.2575197156,6519
3.35,0,1,0,0,0,0,3,52,Beasiswa Baznas,0.2648836849,6197
3.12,0,1,2,2,0,0,22,23,Beasiswa Baznas,0.2043540422,9215
3.65,0,0,0,0,0,0,23,31,Beasiswa Baznas,0.2526136833,6721
3.46,0,0,2,2,0,0,27,26,Beasiswa Baznas,0.2489987087,6863
3.09,0,0,3,1,0,0,25,53,Beasiswa Baznas,0.3024413075,4610
3.03,0,1,2,2,0,0,41,42,Beasiswa Baznas,0.3186613649,3915
3.12,0,0,3,1,0,0,35,44,Beasiswa Baznas,0.3052184757,4473
3.15,0,0,0,0,0,0,3,53,Beasiswa Baznas,0.2593575675,6436
3,0,0,3,2,0,0,35,52,Beasiswa Baznas,0.3258466925,3626
3.63,0,1,2,2,0,0,36,47,Beasiswa Baznas,0.3373220969,3208
